travelCode,userCode,name,place,days,price,total,date
20852,204,Hotel BD,Natal (RN),1,242.88,242.88,03/17/2022
15240,152,Hotel Z,Aracaju (SE),4,208.04,832.16,07/02/2020
88229,871,Hotel BD,Natal (RN),1,242.88,242.88,10/29/2020
54208,525,Hotel AF,Sao Paulo (SP),3,139.1,417.3,03/04/2021
123916,1225,Hotel K,Salvador (BH),3,263.41,790.23,04/16/2020
110839,1099,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,12/26/2019
57012,554,Hotel AU,Recife (PE),3,312.83,938.49,12/31/2020
19836,193,Hotel Z,Aracaju (SE),2,208.04,416.08,02/10/2022
12493,120,Hotel BP,Brasilia (DF),2,247.62,495.24,06/23/2022
85937,847,Hotel AU,Recife (PE),2,312.83,625.66,12/31/2020
46794,454,Hotel BD,Natal (RN),1,242.88,242.88,07/28/2022
128663,1268,Hotel BD,Natal (RN),4,242.88,971.52,06/09/2022
106741,1060,Hotel Z,Aracaju (SE),2,208.04,416.08,09/10/2020
63294,616,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,03/04/2021
66074,641,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,03/03/2022
74999,728,Hotel BW,Campo Grande (MS),2,60.39,120.78,11/07/2019
115194,1146,Hotel Z,Aracaju (SE),4,208.04,832.16,08/27/2020
114454,1139,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,10/31/2019
13692,135,Hotel BW,Campo Grande (MS),3,60.39,181.17,10/10/2019
42774,416,Hotel BW,Campo Grande (MS),1,60.39,60.39,12/23/2021
71974,700,Hotel BW,Campo Grande (MS),4,60.39,241.56,12/19/2019
128136,1263,Hotel Z,Aracaju (SE),1,208.04,208.04,01/30/2020
83673,820,Hotel A,Florianopolis (SC),4,313.02,1252.08,08/27/2020
114510,1139,Hotel K,Salvador (BH),1,263.41,263.41,11/26/2020
55458,541,Hotel BP,Brasilia (DF),3,247.62,742.86,10/08/2020
658,5,Hotel BD,Natal (RN),1,242.88,242.88,05/21/2020
27406,263,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/29/2020
99784,991,Hotel Z,Aracaju (SE),1,208.04,208.04,02/20/2020
110025,1090,Hotel AU,Recife (PE),3,312.83,938.49,10/08/2020
119538,1186,Hotel BW,Campo Grande (MS),1,60.39,60.39,04/16/2020
15374,153,Hotel AU,Recife (PE),4,312.83,1251.32,01/30/2020
110513,1095,Hotel AF,Sao Paulo (SP),1,139.1,139.1,03/24/2022
58912,573,Hotel A,Florianopolis (SC),3,313.02,939.06,02/04/2021
59654,578,Hotel AU,Recife (PE),3,312.83,938.49,09/23/2021
31187,297,Hotel BW,Campo Grande (MS),2,60.39,120.78,03/04/2021
113221,1124,Hotel AU,Recife (PE),2,312.83,625.66,10/10/2019
90511,895,Hotel AU,Recife (PE),2,312.83,625.66,02/13/2020
118118,1170,Hotel K,Salvador (BH),1,263.41,263.41,03/11/2021
5765,57,Hotel A,Florianopolis (SC),1,313.02,313.02,10/17/2019
8264,81,Hotel BD,Natal (RN),3,242.88,728.64,07/09/2020
68832,666,Hotel BD,Natal (RN),1,242.88,242.88,03/11/2021
113378,1126,Hotel BD,Natal (RN),4,242.88,971.52,06/17/2021
98558,975,Hotel AU,Recife (PE),1,312.83,312.83,12/01/2022
34350,328,Hotel A,Florianopolis (SC),4,313.02,1252.08,04/28/2022
94319,931,Hotel AU,Recife (PE),3,312.83,938.49,06/23/2022
71158,690,Hotel BW,Campo Grande (MS),1,60.39,60.39,12/19/2019
57763,562,Hotel BP,Brasilia (DF),2,247.62,495.24,04/29/2021
7509,72,Hotel BP,Brasilia (DF),1,247.62,247.62,04/09/2020
52165,505,Hotel AU,Recife (PE),4,312.83,1251.32,12/09/2021
114052,1135,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,09/17/2020
42189,411,Hotel BD,Natal (RN),3,242.88,728.64,07/23/2020
8646,84,Hotel AU,Recife (PE),1,312.83,312.83,10/31/2019
135447,1332,Hotel BP,Brasilia (DF),3,247.62,742.86,06/17/2021
5804,57,Hotel AU,Recife (PE),3,312.83,938.49,07/16/2020
48859,479,Hotel A,Florianopolis (SC),2,313.02,626.04,07/02/2020
99746,990,Hotel AU,Recife (PE),2,312.83,625.66,01/21/2021
63678,619,Hotel A,Florianopolis (SC),2,313.02,626.04,01/28/2021
127511,1258,Hotel AU,Recife (PE),4,312.83,1251.32,02/20/2020
305,3,Hotel BD,Natal (RN),4,242.88,971.52,04/01/2021
102463,1015,Hotel K,Salvador (BH),1,263.41,263.41,02/03/2022
34986,335,Hotel BP,Brasilia (DF),4,247.62,990.48,12/10/2020
72023,700,Hotel BP,Brasilia (DF),3,247.62,742.86,11/26/2020
100918,1003,Hotel AF,Sao Paulo (SP),4,139.1,556.4,12/19/2019
8514,83,Hotel A,Florianopolis (SC),3,313.02,939.06,01/02/2020
71924,699,Hotel K,Salvador (BH),3,263.41,790.23,11/07/2019
45201,441,Hotel BP,Brasilia (DF),2,247.62,495.24,10/08/2020
81418,793,Hotel BP,Brasilia (DF),4,247.62,990.48,03/11/2021
84294,828,Hotel BW,Campo Grande (MS),3,60.39,181.17,11/21/2019
2541,22,Hotel K,Salvador (BH),1,263.41,263.41,09/03/2020
131598,1295,Hotel K,Salvador (BH),3,263.41,790.23,09/16/2021
55898,544,Hotel A,Florianopolis (SC),1,313.02,313.02,09/22/2022
61547,601,Hotel A,Florianopolis (SC),2,313.02,626.04,04/15/2021
52807,512,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/24/2019
128341,1265,Hotel BD,Natal (RN),1,242.88,242.88,10/24/2019
49567,485,Hotel K,Salvador (BH),4,263.41,1053.64,11/05/2020
118198,1170,Hotel BP,Brasilia (DF),2,247.62,495.24,09/22/2022
26719,258,Hotel K,Salvador (BH),4,263.41,1053.64,01/30/2020
98849,979,Hotel AF,Sao Paulo (SP),4,139.1,556.4,12/26/2019
40857,394,Hotel BP,Brasilia (DF),4,247.62,990.48,04/09/2020
46502,453,Hotel BD,Natal (RN),3,242.88,728.64,11/28/2019
1183,11,Hotel BP,Brasilia (DF),4,247.62,990.48,11/14/2019
81734,796,Hotel AU,Recife (PE),1,312.83,312.83,07/02/2020
100047,993,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,07/30/2020
44266,432,Hotel BW,Campo Grande (MS),2,60.39,120.78,05/12/2022
25661,247,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,08/19/2021
20298,196,Hotel A,Florianopolis (SC),3,313.02,939.06,09/17/2020
36613,349,Hotel AU,Recife (PE),1,312.83,312.83,06/03/2021
50406,491,Hotel BD,Natal (RN),3,242.88,728.64,07/30/2020
127946,1261,Hotel AU,Recife (PE),1,312.83,312.83,08/13/2020
98394,975,Hotel Z,Aracaju (SE),1,208.04,208.04,10/10/2019
66021,641,Hotel BD,Natal (RN),3,242.88,728.64,02/25/2021
131048,1289,Hotel AF,Sao Paulo (SP),1,139.1,139.1,07/09/2020
93781,925,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,12/30/2021
51555,501,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,11/12/2020
25695,247,Hotel AF,Sao Paulo (SP),3,139.1,417.3,04/14/2022
80204,780,Hotel A,Florianopolis (SC),3,313.02,939.06,10/29/2020
118870,1178,Hotel BD,Natal (RN),3,242.88,728.64,02/27/2020
85645,843,Hotel A,Florianopolis (SC),1,313.02,313.02,02/11/2021
83104,810,Hotel AF,Sao Paulo (SP),3,139.1,417.3,01/13/2022
16431,162,Hotel K,Salvador (BH),4,263.41,1053.64,05/20/2021
126022,1247,Hotel AU,Recife (PE),3,312.83,938.49,11/14/2019
56757,552,Hotel K,Salvador (BH),2,263.41,526.82,04/06/2023
60490,584,Hotel BP,Brasilia (DF),2,247.62,495.24,12/15/2022
445,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,02/13/2020
48233,471,Hotel A,Florianopolis (SC),2,313.02,626.04,02/13/2020
80399,782,Hotel K,Salvador (BH),1,263.41,263.41,10/08/2020
106516,1058,Hotel BP,Brasilia (DF),2,247.62,495.24,11/14/2019
55668,543,Hotel AU,Recife (PE),4,312.83,1251.32,11/07/2019
90491,895,Hotel BP,Brasilia (DF),3,247.62,742.86,09/26/2019
61764,603,Hotel Z,Aracaju (SE),4,208.04,832.16,02/18/2021
112898,1120,Hotel K,Salvador (BH),1,263.41,263.41,03/11/2021
112680,1118,Hotel K,Salvador (BH),4,263.41,1053.64,02/13/2020
30295,289,Hotel BW,Campo Grande (MS),4,60.39,241.56,02/06/2020
122054,1210,Hotel BP,Brasilia (DF),2,247.62,495.24,04/21/2022
98161,973,Hotel BP,Brasilia (DF),1,247.62,247.62,11/19/2020
132835,1309,Hotel BP,Brasilia (DF),2,247.62,495.24,07/16/2020
64448,627,Hotel A,Florianopolis (SC),2,313.02,626.04,05/21/2020
9549,95,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,10/08/2020
66468,645,Hotel BP,Brasilia (DF),3,247.62,742.86,04/15/2021
110102,1091,Hotel BD,Natal (RN),1,242.88,242.88,05/28/2020
92069,908,Hotel AF,Sao Paulo (SP),4,139.1,556.4,11/11/2021
77118,749,Hotel BW,Campo Grande (MS),3,60.39,181.17,04/02/2020
106192,1053,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,06/24/2021
81616,794,Hotel BW,Campo Grande (MS),4,60.39,241.56,03/04/2021
96449,955,Hotel AF,Sao Paulo (SP),1,139.1,139.1,02/27/2020
112300,1112,Hotel Z,Aracaju (SE),3,208.04,624.12,09/02/2021
18290,181,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,01/30/2020
45137,440,Hotel BW,Campo Grande (MS),3,60.39,181.17,07/07/2022
99162,981,Hotel AU,Recife (PE),4,312.83,1251.32,11/03/2022
62653,611,Hotel BD,Natal (RN),4,242.88,971.52,03/04/2021
91541,904,Hotel BP,Brasilia (DF),3,247.62,742.86,03/25/2021
88367,873,Hotel BW,Campo Grande (MS),3,60.39,181.17,05/07/2020
44275,432,Hotel BD,Natal (RN),1,242.88,242.88,07/14/2022
9860,99,Hotel BW,Campo Grande (MS),2,60.39,120.78,09/26/2019
59472,577,Hotel AU,Recife (PE),1,312.83,312.83,09/26/2019
688,6,Hotel BD,Natal (RN),3,242.88,728.64,09/26/2019
74107,718,Hotel BD,Natal (RN),4,242.88,971.52,08/06/2020
29940,285,Hotel AF,Sao Paulo (SP),3,139.1,417.3,06/17/2021
51797,503,Hotel AU,Recife (PE),2,312.83,625.66,02/20/2020
102870,1022,Hotel AF,Sao Paulo (SP),2,139.1,278.2,12/05/2019
30791,293,Hotel AF,Sao Paulo (SP),1,139.1,139.1,09/10/2020
88298,872,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/29/2020
110789,1098,Hotel K,Salvador (BH),4,263.41,1053.64,01/02/2020
128017,1261,Hotel BW,Campo Grande (MS),3,60.39,181.17,12/23/2021
13272,130,Hotel BP,Brasilia (DF),1,247.62,247.62,10/03/2019
120666,1196,Hotel BW,Campo Grande (MS),2,60.39,120.78,06/09/2022
119798,1188,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,01/27/2022
1622,14,Hotel BD,Natal (RN),3,242.88,728.64,10/31/2019
100599,1001,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,07/23/2020
81747,796,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,10/01/2020
71443,693,Hotel Z,Aracaju (SE),3,208.04,624.12,07/15/2021
108550,1077,Hotel BW,Campo Grande (MS),1,60.39,60.39,07/09/2020
56514,550,Hotel Z,Aracaju (SE),4,208.04,832.16,03/04/2021
35640,341,Hotel BW,Campo Grande (MS),4,60.39,241.56,02/25/2021
125477,1239,Hotel Z,Aracaju (SE),2,208.04,416.08,03/19/2020
49098,482,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,08/20/2020
13820,137,Hotel K,Salvador (BH),2,263.41,526.82,04/02/2020
56968,554,Hotel BP,Brasilia (DF),4,247.62,990.48,02/27/2020
82212,799,Hotel AU,Recife (PE),3,312.83,938.49,07/30/2020
114625,1140,Hotel AU,Recife (PE),3,312.83,938.49,07/30/2020
58680,572,Hotel BD,Natal (RN),1,242.88,242.88,02/13/2020
124940,1233,Hotel AF,Sao Paulo (SP),2,139.1,278.2,01/28/2021
20226,195,Hotel BW,Campo Grande (MS),1,60.39,60.39,02/23/2023
61367,599,Hotel K,Salvador (BH),2,263.41,526.82,05/05/2022
97798,967,Hotel AU,Recife (PE),1,312.83,312.83,04/21/2022
63210,615,Hotel BD,Natal (RN),1,242.88,242.88,12/09/2021
122900,1218,Hotel AU,Recife (PE),2,312.83,625.66,03/10/2022
59928,581,Hotel AU,Recife (PE),1,312.83,312.83,07/09/2020
16126,158,Hotel BW,Campo Grande (MS),1,60.39,60.39,05/25/2023
55806,544,Hotel Z,Aracaju (SE),3,208.04,624.12,12/17/2020
26195,251,Hotel A,Florianopolis (SC),2,313.02,626.04,05/20/2021
108467,1076,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,11/11/2021
47409,460,Hotel AU,Recife (PE),2,312.83,625.66,07/23/2020
82344,800,Hotel BD,Natal (RN),3,242.88,728.64,08/06/2020
95727,945,Hotel AF,Sao Paulo (SP),4,139.1,556.4,10/07/2021
114058,1135,Hotel K,Salvador (BH),4,263.41,1053.64,10/29/2020
83938,823,Hotel AU,Recife (PE),2,312.83,625.66,10/29/2020
71917,698,Hotel AF,Sao Paulo (SP),3,139.1,417.3,08/13/2020
121404,1204,Hotel BD,Natal (RN),3,242.88,728.64,01/02/2020
21777,212,Hotel Z,Aracaju (SE),4,208.04,832.16,06/23/2022
68906,666,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,08/11/2022
19298,189,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,12/05/2019
44359,433,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,01/28/2021
40705,391,Hotel BP,Brasilia (DF),3,247.62,742.86,08/19/2021
41718,407,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,07/30/2020
98009,971,Hotel AU,Recife (PE),2,312.83,625.66,02/11/2021
100041,993,Hotel AF,Sao Paulo (SP),3,139.1,417.3,06/18/2020
53063,514,Hotel BD,Natal (RN),1,242.88,242.88,11/07/2019
29479,281,Hotel Z,Aracaju (SE),3,208.04,624.12,12/02/2021
93709,925,Hotel BD,Natal (RN),1,242.88,242.88,08/13/2020
70338,683,Hotel K,Salvador (BH),1,263.41,263.41,10/24/2019
108689,1078,Hotel BW,Campo Grande (MS),1,60.39,60.39,07/29/2021
18126,179,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,03/11/2021
67597,655,Hotel BD,Natal (RN),2,242.88,485.76,07/16/2020
34519,329,Hotel BD,Natal (RN),2,242.88,485.76,09/08/2022
91427,902,Hotel Z,Aracaju (SE),3,208.04,624.12,06/18/2020
2973,26,Hotel K,Salvador (BH),1,263.41,263.41,11/26/2020
70777,685,Hotel Z,Aracaju (SE),2,208.04,416.08,04/08/2021
70082,678,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,05/13/2021
46545,453,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,09/24/2020
124178,1227,Hotel BD,Natal (RN),4,242.88,971.52,09/17/2020
78368,761,Hotel BP,Brasilia (DF),1,247.62,247.62,01/30/2020
56487,550,Hotel BD,Natal (RN),1,242.88,242.88,08/27/2020
53709,519,Hotel BP,Brasilia (DF),2,247.62,495.24,03/26/2020
69267,671,Hotel BP,Brasilia (DF),1,247.62,247.62,10/15/2020
129178,1272,Hotel AF,Sao Paulo (SP),1,139.1,139.1,12/26/2019
90839,897,Hotel AU,Recife (PE),2,312.83,625.66,09/17/2020
96672,956,Hotel BW,Campo Grande (MS),1,60.39,60.39,05/27/2021
121098,1201,Hotel AU,Recife (PE),4,312.83,1251.32,11/18/2021
90531,895,Hotel AU,Recife (PE),2,312.83,625.66,07/02/2020
2274,20,Hotel BW,Campo Grande (MS),3,60.39,181.17,11/05/2020
1705,15,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,08/27/2020
16746,168,Hotel BD,Natal (RN),4,242.88,971.52,12/12/2019
41775,407,Hotel BP,Brasilia (DF),3,247.62,742.86,09/02/2021
43658,428,Hotel BP,Brasilia (DF),3,247.62,742.86,08/20/2020
58118,566,Hotel BD,Natal (RN),3,242.88,728.64,01/07/2021
48466,475,Hotel AF,Sao Paulo (SP),1,139.1,139.1,02/27/2020
5885,60,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/31/2019
71923,699,Hotel Z,Aracaju (SE),4,208.04,832.16,10/31/2019
61001,591,Hotel Z,Aracaju (SE),1,208.04,208.04,07/16/2020
17993,178,Hotel AU,Recife (PE),1,312.83,312.83,02/25/2021
49101,482,Hotel AU,Recife (PE),3,312.83,938.49,09/10/2020
9961,100,Hotel BD,Natal (RN),3,242.88,728.64,02/25/2021
22176,217,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,02/13/2020
82906,809,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,04/01/2021
3875,39,Hotel K,Salvador (BH),2,263.41,526.82,12/16/2021
111728,1105,Hotel Z,Aracaju (SE),4,208.04,832.16,11/10/2022
46852,455,Hotel BP,Brasilia (DF),3,247.62,742.86,03/05/2020
23366,229,Hotel BW,Campo Grande (MS),4,60.39,241.56,10/15/2020
25241,244,Hotel AU,Recife (PE),3,312.83,938.49,02/20/2020
10159,103,Hotel K,Salvador (BH),3,263.41,790.23,09/03/2020
12084,118,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,02/13/2020
70126,678,Hotel A,Florianopolis (SC),1,313.02,313.02,03/17/2022
121408,1204,Hotel BP,Brasilia (DF),2,247.62,495.24,01/30/2020
40256,389,Hotel K,Salvador (BH),3,263.41,790.23,07/02/2020
113958,1132,Hotel Z,Aracaju (SE),3,208.04,624.12,04/01/2021
57929,565,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/30/2020
51190,498,Hotel AF,Sao Paulo (SP),2,139.1,278.2,03/18/2021
70184,680,Hotel Z,Aracaju (SE),1,208.04,208.04,01/16/2020
22879,223,Hotel K,Salvador (BH),1,263.41,263.41,08/05/2021
74537,724,Hotel K,Salvador (BH),3,263.41,790.23,10/17/2019
53381,516,Hotel K,Salvador (BH),2,263.41,526.82,04/22/2021
81423,793,Hotel AF,Sao Paulo (SP),2,139.1,278.2,04/15/2021
25855,248,Hotel BD,Natal (RN),1,242.88,242.88,11/04/2021
72547,705,Hotel AF,Sao Paulo (SP),4,139.1,556.4,03/10/2022
57867,564,Hotel BD,Natal (RN),2,242.88,485.76,03/26/2020
76595,745,Hotel BD,Natal (RN),4,242.88,971.52,10/17/2019
59814,580,Hotel Z,Aracaju (SE),3,208.04,624.12,07/15/2021
117136,1161,Hotel AF,Sao Paulo (SP),3,139.1,417.3,09/26/2019
96986,959,Hotel Z,Aracaju (SE),2,208.04,416.08,09/26/2019
97742,967,Hotel K,Salvador (BH),3,263.41,790.23,03/25/2021
73406,712,Hotel BD,Natal (RN),1,242.88,242.88,10/22/2020
108293,1074,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/28/2021
53955,522,Hotel A,Florianopolis (SC),1,313.02,313.02,02/13/2020
85401,838,Hotel BW,Campo Grande (MS),3,60.39,181.17,06/10/2021
33300,321,Hotel AU,Recife (PE),1,312.83,312.83,02/11/2021
91990,908,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/07/2020
67445,653,Hotel Z,Aracaju (SE),1,208.04,208.04,05/07/2020
90427,892,Hotel AU,Recife (PE),3,312.83,938.49,08/27/2020
115797,1149,Hotel AU,Recife (PE),2,312.83,625.66,11/24/2022
102094,1012,Hotel BW,Campo Grande (MS),1,60.39,60.39,07/01/2021
31759,304,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,08/25/2022
130775,1286,Hotel BP,Brasilia (DF),4,247.62,990.48,12/15/2022
85262,837,Hotel AU,Recife (PE),3,312.83,938.49,07/29/2021
86380,851,Hotel A,Florianopolis (SC),3,313.02,939.06,09/10/2020
17668,176,Hotel K,Salvador (BH),4,263.41,1053.64,02/27/2020
61322,599,Hotel BD,Natal (RN),3,242.88,728.64,06/24/2021
71327,691,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,01/02/2020
65612,638,Hotel Z,Aracaju (SE),1,208.04,208.04,10/15/2020
17582,175,Hotel AF,Sao Paulo (SP),2,139.1,278.2,02/18/2021
80240,780,Hotel A,Florianopolis (SC),1,313.02,313.02,07/08/2021
4039,40,Hotel BW,Campo Grande (MS),4,60.39,241.56,04/28/2022
53742,519,Hotel A,Florianopolis (SC),1,313.02,313.02,11/12/2020
61182,596,Hotel BP,Brasilia (DF),1,247.62,247.62,02/04/2021
100122,993,Hotel K,Salvador (BH),3,263.41,790.23,01/06/2022
98376,974,Hotel AU,Recife (PE),3,312.83,938.49,09/16/2021
48545,477,Hotel Z,Aracaju (SE),3,208.04,624.12,03/26/2020
111204,1102,Hotel BW,Campo Grande (MS),4,60.39,241.56,06/11/2020
108088,1072,Hotel K,Salvador (BH),4,263.41,1053.64,07/02/2020
20386,197,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,11/19/2020
74616,724,Hotel BD,Natal (RN),2,242.88,485.76,04/22/2021
51859,503,Hotel Z,Aracaju (SE),2,208.04,416.08,04/29/2021
72267,702,Hotel A,Florianopolis (SC),4,313.02,1252.08,08/12/2021
4644,46,Hotel BW,Campo Grande (MS),1,60.39,60.39,05/20/2021
125953,1246,Hotel AU,Recife (PE),2,312.83,625.66,08/27/2020
101427,1005,Hotel BW,Campo Grande (MS),2,60.39,120.78,05/05/2022
3366,34,Hotel Z,Aracaju (SE),2,208.04,416.08,11/07/2019
22366,219,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,06/10/2021
107642,1067,Hotel BD,Natal (RN),1,242.88,242.88,06/10/2021
55747,544,Hotel AU,Recife (PE),1,312.83,312.83,10/31/2019
33129,319,Hotel BW,Campo Grande (MS),4,60.39,241.56,03/03/2022
84318,828,Hotel Z,Aracaju (SE),4,208.04,832.16,05/07/2020
